"year","points.won","points.given","point.differential"
2002,23,21,2
2002,27,7,20
2002,34,17,17
2002,24,21,3
2002,31,10,21
2002,31,34,-3
2002,29,32,-3
2002,14,19,-5
2002,42,24,18
2002,3,20,-17
2002,20,37,-17
2002,14,21,-7
2002,49,31,18
2002,31,28,3
2003,24,17,7
2003,48,31,17
2003,5,23,-18
2003,38,27,11
2003,38,20,18
2003,30,23,7
2003,17,10,7
2003,23,26,-3
2003,7,16,-9
2003,34,37,-3
2003,56,21,35
2003,21,27,-6
2003,14,28,-14
2004,34,6,28
2004,18,3,15
2004,9,7,2
2004,16,3,13
2004,24,7,17
2004,24,13,11
2004,20,17,3
2004,24,12,12
2004,38,14,24
2004,14,49,-35
2004,7,30,-23
2004,21,24,-3
2005,56,42,14
2005,65,0,65
2005,14,5,9
2005,23,20,3
2005,41,24,17
2005,48,51,-3
2005,38,34,4
2005,31,20,11
2005,41,24,17
2005,14,35,-21
2005,10,20,-10
2005,41,24,17
2005,24,10,14
2006,35,14,21
2006,34,10,24
2006,14,0,14
2006,13,27,-14
2006,52,17,35
2006,41,9,32
2006,48,12,36
2006,24,3,21
2006,30,24,6
2006,13,3,10
2006,24,21,3
2006,35,3,32
2006,17,14,3
2007,42,21,21
2007,20,13,7
2007,45,31,14
2007,17,13,4
2007,37,34,3
2007,26,31,-5
2007,7,38,-31
2007,44,3,41
2007,33,3,30
2007,17,38,-21
2007,37,21,16
2007,41,34,7
2007,17,21,-4
2008,38,17,21
2008,51,14,37
2008,13,10,3
2008,25,27,-2
2008,17,20,-3
2008,7,48,-41
2008,16,38,-22
2008,27,17,10
2008,24,25,-1
2008,55,20,35
2008,35,32,3
2008,36,35,1
2008,13,42,-29
2009,28,20,8
2009,34,31,3
2009,44,14,30
2009,38,30,8
2009,31,28,3
2009,13,31,-18
2009,10,20,-10
2009,37,0,37
2009,31,28,3
2009,45,24,21
2009,31,33,-2
2009,51,10,41
2009,20,14,6
2010,41,21,20
2010,27,14,13
2010,20,19,1
2010,70,3,67
2010,24,34,-10
2010,41,23,18
2010,31,18,13
2010,31,30,1
2010,34,13,21
2010,83,20,63
2010,48,28,20
2010,70,23,47
2010,19,21,-2
2011,51,17,34
2011,35,0,35
2011,49,7,42
2011,59,10,49
2011,48,17,31
2011,59,7,52
2011,31,37,-6
2011,29,33,-4
2011,62,17,45
2011,42,13,29
2011,28,17,11
2011,45,7,38
2011,42,39,3
2011,38,45,-7
2012,26,21,5
2012,7,10,-3
2012,16,14,2
2012,37,26,11
2012,27,30,-3
2012,31,14,17
2012,38,14,24
2012,38,13,25
2012,13,16,-3
2012,62,14,48
2012,14,21,-7
2012,21,24,-3
2012,70,31,39
2012,14,20,-6
2013,45,0,45
2013,48,0,48
2013,30,32,-2
2013,41,10,31
2013,24,31,-7
2013,35,6,29
2013,56,32,24
2013,28,9,19
2013,27,17,10
2013,51,3,48
2013,20,7,13
2013,24,31,-7
2013,24,34,-10
2014,24,28,-4
2014,37,3,34
2014,68,17,51
2014,27,10,17
2014,14,20,-6
2014,38,28,10
2014,52,7,45
2014,37,0,37
2014,34,16,18
2014,59,24,35
2014,26,24,2
2014,34,24,10
2014,0,59,-59
2014,34,31,3
2015,17,35,-18
2015,58,0,58
2015,28,3,25
2015,28,0,28
2015,6,10,-4
2015,23,21,2
2015,24,7,17
2015,24,13,11
2015,48,10,38
2015,31,24,7
2015,7,13,-6
2015,31,21,10
2015,23,21,2
2016,16,14,2
2016,54,10,44
2016,23,17,6
2016,30,6,24
2016,7,14,-7
2016,23,30,-7
2016,17,9,8
2016,23,17,6
2016,21,7,14
2016,48,3,45
2016,49,20,29
2016,31,17,14
2016,31,38,-7
2016,24,16,8
2017,59,10,49
2017,31,14,17
2017,40,6,34
2017,33,24,9
2017,38,17,21
2017,17,9,8
2017,38,13,25
2017,24,10,14
2017,45,17,28
2017,38,14,24
2017,24,10,14
2017,31,0,31
2017,21,27,-6
2017,34,24,10
2018,34,3,31
2018,45,14,31
2018,21,24,-3
2018,28,17,11
2018,41,24,17
2018,13,38,-25
2018,49,20,29
2018,17,31,-14
2018,31,17,14
2018,10,22,-12
2018,47,44,3
2018,15,37,-22
2018,35,3,32
2019,49,0,49
2019,61,0,61
2019,35,14,21
2019,24,15,9
2019,48,0,48
2019,38,0,38
2019,23,24,-1
2019,7,38,-31
2019,24,22,2
2019,37,21,16
2019,45,24,21
2019,38,17,21
2019,21,34,-13
2019,27,28,-1
2020,45,7,38
2020,49,11,38
2020,7,17,-10
2020,6,14,-8
2020,7,28,-21
2020,20,17,3
2020,42,28,14
2021,10,16,-6
2021,34,7,27
2021,13,41,-28
2021,17,38,-21
2021,24,0,24
2021,20,14,6
2021,30,13,17
2021,27,7,20
2021,52,3,49
2021,35,7,28
2021,35,28,7
2021,13,23,-10
2021,20,13,7
2022,38,0,38
2022,14,17,-3
2022,66,7,59
2022,21,52,-31
2022,10,34,-24
2022,42,7,35
2022,28,34,-6
2022,35,24,11
2022,23,10,13
2022,10,24,-14
2022,15,14,1
2022,16,23,-7
2022,24,17,7
2023,38,17,21
2023,22,31,-9
2023,35,14,21
2023,38,17,21
2023,24,13,11
2023,6,15,-9
2023,25,21,4
2023,10,24,-14
2023,14,20,-6
2023,10,24,-14
2023,24,17,7
2023,28,14,14
2023,31,35,-4
2024,28,14,14
2024,27,13,14
2024,10,42,-32
2024,21,38,-17
2024,52,6,46
2024,42,7,35
2024,23,3,20
2024,13,28,-15
2024,10,42,-32
2024,13,16,-3
2024,25,44,-19
2024,7,24,-17
